,CO,O2,CO2,CO*,O*,*,time,k
0,1e-05,1e-05,1e-05,1e-05,1e-05,30.0,0.005,9.500075807770902
1,0.0007630102501965795,0.000516826166826616,8.078023925735852e-10,0.00024195170888340433,0.00031463694488562095,29.99946341134623,0.006,1.3537748592580308
2,0.001849650824558293,0.0012775584427922179,1.952480724375032e-09,0.0007729452842731395,0.001035853056658718,29.998211201659068,0.007,0.31155006092793425
3,0.0032637358645484483,0.002294396681046839,8.854590910019221e-09,0.0017059532602185833,0.0023272263798896093,29.995986820359892,0.008,50122.39245191494
4,0.004953930779601992,0.0035296269184349545,2.947727056310021e-08,0.0031191487431583217,0.00431087515341048,29.992589976103428,0.009,25638.58799068616
5,0.006852197524978616,0.004929611765898776,7.833012976973409e-08,0.005071173832304022,0.00707845507646658,29.98787037109123,0.01,29.907714833173056
6,0.008888963705640181,0.006439362409441154,1.7706128671832346e-07,0.0076007196606643354,0.010690350073920486,29.98172893026542,0.011,
7,0.01100104855163292,0.008008388269010841,3.5473091208225026e-07,0.01072830583783511,0.01517812550658913,29.974113568655575,0.012,
8,0.013134821198777877,0.009595323765005818,6.473917187436707e-07,0.014458871892747678,0.02054952366890343,29.96501160443835,0.013,
9,0.015246443639845116,0.011168148009736287,1.0973093727082383e-06,0.0187857158574105,0.02679488751781717,29.954439396624775,0.014,
10,0.01730027619563265,0.01270250604296029,1.7514714361095485e-06,0.023691334746527726,0.03389001674912102,29.942438648504353,0.015,
11,0.019268817567374908,0.014180276952063442,2.660269309021231e-06,0.029150658194601636,0.0418006417281768,29.929068700077224,0.016,
12,0.021134928007739872,0.015590176807016621,3.876141538856255e-06,0.03513404442058245,0.05048635940171934,29.9143995961777,0.017,
13,0.022884711288442373,0.0169225134010318,5.451984476609708e-06,0.04160788028966023,0.05990127251619115,29.898510847194153,0.018,
14,0.024510669594000768,0.018172128856447964,7.439845879126802e-06,0.048536055999298236,0.06999623709091518,29.881487706909788,0.019,
15,0.026009189062821708,0.019337293672438076,9.890020168849252e-06,0.05588160140077513,0.08072135854381149,29.863417040055417,0.02,
16,0.027379531395503462,0.02041754669885722,1.2850325885408564e-05,0.0636079949382546,0.09202723410463305,29.844384770957117,0.021,
17,0.028626268513473968,0.021414042074264256,1.6364990318285718e-05,0.07167893736001793,0.10386414578438297,29.824476916855602,0.022,
18,0.02975433787077422,0.02232949077402299,2.0474818828833687e-05,0.08006007557916767,0.11618457196883016,29.803775352452003,0.023,
19,0.030768629752316663,0.023167836745519022,2.5217012721290648e-05,0.08871910619063751,0.12894400536667858,29.782356888442685,0.024,
20,0.031676649835135615,0.023932404070154487,3.062433506415944e-05,0.09762496552520529,0.14209906294359562,29.760295971531203,0.025,
21,0.03248321298578731,0.024626816952020746,3.672512849348979e-05,0.10674781943303903,0.15560842041982803,29.737663760147136,0.026,
22,0.033195465786555,0.025255055082939664,4.354385484669524e-05,0.11606031188303369,0.16943358947979203,29.71452609863718,0.027,
23,0.03381898790918748,0.025820721412030696,5.110105249634681e-05,0.12553710126937742,0.1835386937284521,29.690944205002175,0.028,
24,0.034360635454306725,0.026327807232599733,5.9413066758846154e-05,0.1351543154225126,0.1978897651909658,29.666975919386527,0.029,
25,0.034825680570071536,0.02678036580197676,6.849275319815092e-05,0.14488997604699683,0.21245564801246034,29.64267437594055,0.03,
26,0.03521869813610061,0.02718275413955886,7.834970775081595e-05,0.1547237509377073,0.22720810483703843,29.618088144225265,0.031,
27,0.03628194944306566,0.029104135222709618,0.00022106544731329174,0.2551483480737828,0.38208605607251167,29.362785595853715,0.041,
28,0.0349952577334406,0.029025013242297226,0.0004305073591316945,0.35030337273457374,0.5329310891744894,29.116785538090962,0.051,
29,0.03269707586978676,0.027901741466495156,0.0006911577240166374,0.43732375621833763,0.6746274479250451,28.88806879585664,0.061,
30,0.030080015914130127,0.026285018186650088,0.0009861136037302492,0.5153155965006551,0.8051108277464665,28.6795935757529,0.071,
31,0.02740878341218906,0.02447367840258135,0.001299650041855811,0.5841400943750232,0.9238758818673698,28.49200402375763,0.081,
32,0.024897006129237974,0.02261217336097762,0.0016191546715927487,0.6443659923666846,1.031190430688019,28.324463576945245,0.091,
33,0.018155096310789955,0.01597434120675332,0.002952389272228954,0.8386635444299131,1.3889117887513354,27.772444666819066,0.141,
34,0.012890114613185085,0.010631874476344949,0.003927054666155712,0.9421343481922405,1.6067130356055273,27.45117261620255,0.191,
35,0.009815931508185447,0.007011583333540524,0.004531181629031178,0.9934725596134619,1.7351376933393878,27.271409747048196,0.241,
36,0.008138367487564767,0.004655582001966649,0.004874066228179251,1.0179311765076382,1.8085437590045663,27.173545064488113,0.291,
37,0.00834313619645245,0.0030532978611867135,0.005540801817420947,1.087098224078897,1.902131849224728,27.01078992669669,0.391,
38,0.00701546029012104,0.0020537541771188466,0.005846043781288356,1.1124530652467013,1.9504900984868307,26.93707683626824,0.491,
39,0.005976532349255301,0.00148944594107981,0.005898093805820497,1.1072706866923727,1.9743294781194676,26.918419835189933,0.591,
40,0.005149557790794816,0.0011530219575683427,0.00578076571648025,1.0810921892483183,1.9843001708082477,26.934627639946665,0.691,
41,0.0044336492976755895,0.0010422282750253017,0.005563997435101305,1.0397485263863593,1.990954787678335,26.969316685937077,0.791,
42,0.003882924536440337,0.0009701214110310538,0.005297244565316917,0.9902247967054845,1.9967604032237656,27.013034800071072,0.891,
43,0.003340584000316779,0.0008463688146533137,0.004972800608754041,0.9327167111238306,1.998292932010213,27.069010356864823,0.991,
44,0.0023446153013608217,0.0004745734807395923,0.0044640985956823425,0.8514213838122343,1.9796903846269474,27.16890823155968,1.091,
45,0.0014978336202932884,0.00020065535809287466,0.0038558392414755663,0.7548594650877156,1.9470702235645694,27.298090311345128,1.191,
46,0.0009036444589216924,0.0001246240100548629,0.003250010281305154,0.65429879632853,1.9122122903806076,27.433508913289,1.291,
47,0.00014057401700331355,8.044311446422082e-05,0.002622283735194247,0.5441702819006943,1.8750934666421228,27.580756251455323,1.391,
48,4.082579025551802e-05,7.844827841031246e-05,0.002105323049882517,0.44867832929205026,1.8427956960522407,27.708545974654573,1.491,
49,0.0002492727535990645,9.786369681068106e-05,0.0017273938050068672,0.37587195977842636,1.8176488484292213,27.806499191791218,1.591,
