,CO,O2,CO2,CO*,O*,*,time,k
0,1e-05,1e-05,1e-05,1e-05,1e-05,30.0,0.005,9.647215486780393
1,0.0007601316012431194,0.0005147630603020988,4.555501980843328e-10,0.0002451453664849903,0.00031260955505886393,29.999462245078455,0.006,1.7798112072724206
2,0.0018451733277001126,0.0012763415168276248,1.7800860141018092e-09,0.0007821516611988204,0.001028569856462552,29.998209278482335,0.007,0.3097826863345813
3,0.0032557212001062897,0.002294465470138134,8.52352140840622e-09,0.0017265010711844495,0.002312689419918362,29.995980809508897,0.008,111887.70056875666
4,0.004932146875505716,0.0035343697967527947,2.863152218652573e-08,0.0031534209284327266,0.004287274394142314,29.992579304677424,0.009,58943.07819694284
5,0.006808143613318736,0.0049390054660631635,7.630805391740826e-08,0.0051215286901983995,0.0070451743514394006,29.98785329695836,0.01,32.01260523890931
6,0.008828782706772523,0.006458588610854126,1.7267883706991984e-07,0.007671040849693879,0.010648667241247738,29.981700291909053,0.011,
7,0.010918627962131397,0.008032285087410511,3.4593156689699184e-07,0.010819334260814537,0.015124766164783124,29.974075899574395,0.012,
8,0.013030177875009404,0.009625079266821343,6.31109901202845e-07,0.014570830103186255,0.020481409591899834,29.96496776030491,0.013,
9,0.015120316463731766,0.011206369170260596,1.0694301712165482e-06,0.018919960462755625,0.02671165297139166,29.95438838656585,0.014,
10,0.01715199040564969,0.012746236786871992,1.7068146861103248e-06,0.023850864905864744,0.03379205643292855,29.9423770786612,0.015,
11,0.019100001770260718,0.01423006439460301,2.5916653418999654e-06,0.029334116565956386,0.04168455368507538,29.929001329748964,0.016,
12,0.02094119943732994,0.015648009174595873,3.7753323290770833e-06,0.03534115442861597,0.050353019559688614,29.91432582601169,0.017,
13,0.02266664365149883,0.016992131994964486,5.309569075197125e-06,0.041838867670205566,0.059754861183951,29.898426271145837,0.018,
14,0.024271207132301027,0.018250064066008397,7.24377213583971e-06,0.04878679235301513,0.06983473377689067,29.88139847387009,0.019,
15,0.025752429140762784,0.019422477753129032,9.627429772015301e-06,0.05615119766804097,0.08054514313636041,29.863323659195594,0.02,
16,0.027110383589843176,0.020509701597414817,1.2507308663453452e-05,0.06389704283456303,0.0918375218379061,29.844285435327524,0.021,
17,0.028339122076232844,0.021509024231787122,1.592565991828942e-05,0.07198570752788677,0.10366007961757247,29.824374212854536,0.022,
18,0.029451019171298665,0.022430943922278977,1.9921851715100687e-05,0.08038173509884607,0.11596652943464565,29.8036717354665,0.023,
19,0.030448099810860923,0.023276937291733142,2.4531842090431293e-05,0.08905215943099634,0.12871346434281905,29.782254376226177,0.024,
20,0.03134242430969329,0.024048656943627705,2.9787621691149212e-05,0.09796683603655094,0.14185788446097103,29.76019527950247,0.025,
21,0.03214888850598859,0.024748780971729237,3.57165371910282e-05,0.10709755166322477,0.15535605480533596,29.73756639353143,0.026,
22,0.032858073216675596,0.025381532844404888,4.234360430422852e-05,0.11641870206121352,0.1691721208438733,29.714429177094907,0.027,
23,0.03347515250094466,0.025951235898507428,4.968786777297083e-05,0.12590288101102157,0.18326949761932923,29.690847621369645,0.028,
24,0.03401460515051945,0.026461734401088826,5.7763833995234366e-05,0.13552481900746033,0.19761182350479703,29.666883357487734,0.029,
25,0.034466911759761416,0.02691744380006146,6.658215432913566e-05,0.14525915750464266,0.21216804798205016,29.642592794513302,0.03,
26,0.03486032245037486,0.027323981614193544,7.615528917132015e-05,0.15509122121482113,0.22691279626814992,29.618015982517022,0.031,
27,0.03602342697645035,0.029307681785642307,0.0002150205778551838,0.25559795080214914,0.38206990155009307,29.36235214764775,0.041,
28,0.03482993799648774,0.029212413399769342,0.00041840214756125505,0.35059892064525583,0.5329709854280466,29.116450093926655,0.051,
