,CO,O2,CO2,CO*,O*,*,time,k
0,1e-05,1e-05,1e-05,1e-05,1e-05,30.0,0.005,11.630933810853358
1,0.0007191356198763234,0.0005304985979197973,1.4830869701854654e-05,0.00026232651569697976,0.00026234042892307665,29.999495333055382,0.006,0.5926494736580161
2,0.0017242710738503073,0.00133079474915628,1.9110781638141525e-05,0.0008654343539705595,0.0008933889691837988,29.998261176676845,0.007,0.2626367282000259
3,0.0030127860310175834,0.002416362417893226,2.3019906853730592e-05,0.0019178231624084926,0.0020377704976022935,29.99606440633999,0.008,0.6296722868240627
4,0.004529525261616823,0.0037521583487745095,2.6712568962165485e-05,0.0034986433349143073,0.003813350045561488,29.992708006619527,0.009,0.11685359880772818
5,0.0062087018333817625,0.005283374870406931,2.9998833862192196e-05,0.005663943145125008,0.006311785038778587,29.988044271816097,0.01,10.192941710392308
6,0.00798879607375024,0.00695429635857303,3.284648464319217e-05,0.008448175341015643,0.009598069525037032,29.98197375513395,0.011,
7,0.009809767389975604,0.008708980270111322,3.5358764412636084e-05,0.011864740459849277,0.013710433733337806,29.974444825806817,0.012,
8,0.011626382660832683,0.010503479964308289,3.748939407118555e-05,0.015911154925135337,0.018666014647275343,29.96544283042759,0.013,
9,0.013402442801190973,0.012301020377833287,3.935266280747716e-05,0.020572242573509557,0.024464302348353388,29.95498345507814,0.014,
10,0.015110231862481349,0.01407082640020256,4.078964410475733e-05,0.025823090985782154,0.031090004390120333,29.943106904624102,0.015,
11,0.016730768732596005,0.015791359445898073,4.1923688340072094e-05,0.03163215254093528,0.038517498989859095,29.92987034846921,0.016,
12,0.018250531400533846,0.017446803680564726,4.2463686250990336e-05,0.03796312926433576,0.046713557920861515,29.915343312814805,0.017,
13,0.019662986173128158,0.0190255607653264,4.256717188556152e-05,0.044777476013003296,0.05563944535328621,29.89960307863371,0.018,
14,0.020965329985274162,0.02051795909889689,4.197633388004257e-05,0.052035674928296125,0.0652518455223708,29.882732479549333,0.019,
15,0.022157709180976825,0.0219201909685814,4.099536516423881e-05,0.0596983356189948,0.07550573085441815,29.864815933526586,0.02,
16,0.02324225683914831,0.023230277726736557,3.9494432174964054e-05,0.06772685272172795,0.08635521987876885,29.845937927399504,0.021,
17,0.024220665564571205,0.02444698287690203,3.737625647698965e-05,0.07608326710888703,0.09775396977444581,29.82618276311667,0.022,
18,0.02509968495296772,0.02557368234032612,3.488488452624767e-05,0.08473206191161839,0.10965739227749872,29.805630545810885,0.023,
19,0.02588403519870408,0.026612291237247253,3.178379370286718e-05,0.09363941164149416,0.12202194244287683,29.78435864591563,0.024,
20,0.02658100058751088,0.027565425855258823,2.8180270514573417e-05,0.10277410712222221,0.13480549351334206,29.762440399364436,0.025,
21,0.027198555253231223,0.028436373110819386,2.432683713369683e-05,0.11210780625732408,0.14796767101792407,29.739944522724752,0.026,
22,0.027738949119135423,0.02922915606945839,2.0253679021857873e-05,0.1216130293834679,0.16147018470512428,29.71693678591141,0.027,
23,0.028207653668201584,0.02994802393168682,1.569946860090501e-05,0.1312642426887758,0.17527689814534853,29.693478859165875,0.028,
24,0.028612116897212492,0.03059714121537253,1.0668550985379385e-05,0.14103856348270735,0.18935380761755308,29.669627628899743,0.029,
25,0.02895391871155581,0.03118085468288102,5.423521504849621e-06,0.15091375795583503,0.20366915750696843,29.6454370845372,0.03,
26,0.029243398086772555,0.031703817111776805,-9.753392171611973e-09,0.16087123161992165,0.2181935270220017,29.620955241358075,0.031,
27,0.030070739274307458,0.03415037301609241,0.0002070427775243972,0.26162900017854046,0.3713560095860886,29.36703499023537,0.041,
28,0.028934002036372454,0.03419816050375253,0.00029881952685247606,0.35664521543850763,0.5212908013117555,29.12208398324974,0.051,
